gtdb_phylum	gtdb_class	gtdb_order	n_species	n_phaC	pct_phaC	n_complete	pct_complete
Halobacteriota	Methanomicrobia	Methanomicrobiales	57	1	1.8	1	1.8
Nitrospirota	Nitrospiria	Nitrospirales	57	3	5.3	3	5.3
Nanoarchaeota	Nanoarchaeia	Woesearchaeales	57	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	HIMB59	57	1	1.8	1	1.8
Spirochaetota	Leptospirae	Leptospirales	54	0	0.0	0	0.0
Bacteroidota	Chlorobia	Chlorobiales	53	0	0.0	0	0.0
Bacillota_A	Clostridia	Saccharofermentanales	53	0	0.0	0	0.0
Deinococcota	Deinococci	Deinococcales	52	3	5.8	3	5.8
Bacteroidota	Ignavibacteria	Ignavibacteriales	52	0	0.0	0	0.0
Gemmatimonadota	Gemmatimonadetes	Longimicrobiales	48	0	0.0	0	0.0
Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	48	0	0.0	0	0.0
Patescibacteria	Paceibacteria	UBA6257	47	0	0.0	0	0.0
Bacillota_C	Negativicutes	Acidaminococcales	47	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	Rhodospirillales_A	47	33	70.2	33	70.2
Chlamydiota	Chlamydiia	Chlamydiales	46	0	0.0	0	0.0
Desulfobacterota	Syntrophia	Syntrophales	45	25	55.6	25	55.6
Thermoproteota	Thermoprotei_A	Sulfolobales	45	0	0.0	0	0.0
Patescibacteria	ABY1	SG8-24	45	0	0.0	0	0.0
Patescibacteria	Paceibacteria	Paceibacterales	45	0	0.0	0	0.0
Desulfobacterota	Desulfobulbia	Desulfobulbales	45	4	8.9	4	8.9
Bacillota	Bacilli	Acholeplasmatales	44	0	0.0	0	0.0
Patescibacteria	Paceibacteria	Moranbacterales	44	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	Steroidobacterales	44	26	59.1	26	59.1
Verrucomicrobiota	Kiritimatiellia	RFP12	42	0	0.0	0	0.0
Micrarchaeota	Micrarchaeia	Micrarchaeales	42	0	0.0	0	0.0
Acidobacteriota	Terriglobia	Bryobacterales	41	1	2.4	0	0.0
Myxococcota	Myxococcia	Myxococcales	41	24	58.5	24	58.5
Halobacteriota	Methanosarcinia	Methanosarcinales	41	6	14.6	6	14.6
Bacteroidota	Rhodothermia	Balneolales	40	0	0.0	0	0.0
Elusimicrobiota	Elusimicrobia	Elusimicrobiales	40	0	0.0	0	0.0
Nitrospirota	Thermodesulfovibrionia	Thermodesulfovibrionales	40	11	27.5	10	25.0
Planctomycetota	Planctomycetia	Planctomycetales	39	1	2.6	1	2.6
Pseudomonadota	Gammaproteobacteria	PS1	39	2	5.1	2	5.1
Bacteroidota	Bacteroidia	NS11-12g	38	6	15.8	6	15.8
Verrucomicrobiota	Lentisphaeria	Victivallales	38	0	0.0	0	0.0
Nanoarchaeota	Nanoarchaeia	Pacearchaeales	37	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	Rs-D84	36	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	Puniceispirillales	36	5	13.9	5	13.9
Patescibacteria	Microgenomatia	UBA1400	35	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	Micavibrionales	35	33	94.3	33	94.3
Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	35	0	0.0	0	0.0
Myxococcota	Polyangia	Polyangiales	34	23	67.6	23	67.6
Desulfobacterota_F	Desulfuromonadia	Geobacterales	33	2	6.1	2	6.1
Pseudomonadota	Gammaproteobacteria	Arenicellales	32	20	62.5	20	62.5
Actinomycetota	Thermoleophilia	Solirubrobacterales	32	13	40.6	13	40.6
Fibrobacterota	Fibrobacteria	Fibrobacterales	31	0	0.0	0	0.0
Spirochaetota	Spirochaetia	Sphaerochaetales	30	0	0.0	0	0.0
Patescibacteria	ABY1	BM507	30	1	3.3	0	0.0
Chloroflexota	Dehalococcoidia	UBA1151	30	0	0.0	0	0.0
Acidobacteriota	Vicinamibacteria	Vicinamibacterales	29	3	10.3	3	10.3
Patescibacteria	ABY1	Magasanikbacterales	29	0	0.0	0	0.0
Patescibacteria	Microgenomatia	UBA1406	27	0	0.0	0	0.0
Bacillota_A	Clostridia	Acetivibrionales	27	1	3.7	0	0.0
Patescibacteria	Microgenomatia	GWA2-44-7	26	0	0.0	0	0.0
Patescibacteria	Gracilibacteria	Peribacterales	26	0	0.0	0	0.0
Actinomycetota	Acidimicrobiia	Actinomarinales	26	0	0.0	0	0.0
Cloacimonadota	Cloacimonadia	Cloacimonadales	25	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	Azospirillales	25	25	100.0	25	100.0
Chloroflexota	Dehalococcoidia	SAR202	25	1	4.0	1	4.0
Bacillota	Bacilli	Bacillales_H	25	8	32.0	8	32.0
Bacteroidota	Bacteroidia	AKYH767	25	11	44.0	11	44.0
Bacillota_B	Desulfotomaculia	Desulfotomaculales	24	2	8.3	2	8.3
Patescibacteria	Gracilibacteria	UBA1369	24	0	0.0	0	0.0
Bacillota_A	Clostridia	UBA1381	24	0	0.0	0	0.0
Chloroflexota	Anaerolineae	Aggregatilineales	23	1	4.3	1	4.3
Bacillota_A	Clostridia	Eubacteriales	23	0	0.0	0	0.0
Chloroflexota	Limnocylindria	Limnocylindrales	23	0	0.0	0	0.0
Chloroflexota	Dehalococcoidia	UBA3495	23	1	4.3	1	4.3
SAR324	SAR324	SAR324	23	10	43.5	10	43.5
Dormibacterota	Dormibacteria	Dormibacterales	23	1	4.3	1	4.3
Bacteroidota	Rhodothermia	Rhodothermales	23	1	4.3	1	4.3
Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	22	3	13.6	3	13.6
Bacillota	Bacilli	ML615J-28	22	0	0.0	0	0.0
Methanobacteriota_B	Thermococci	Thermococcales	22	0	0.0	0	0.0
Bacteroidota	Kapabacteria	Kapabacteriales	22	1	4.5	1	4.5
Bacillota	Bacilli	Exiguobacterales	22	0	0.0	0	0.0
Thermotogota	Thermotogae	Thermotogales	22	0	0.0	0	0.0
Patescibacteria	Microgenomatia	Levybacterales	21	0	0.0	0	0.0
Bacillota_D	Dethiobacteria	DTU022	21	2	9.5	2	9.5
Bacteroidota	UBA10030	UBA10030	21	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	Francisellales	21	3	14.3	3	14.3
Chloroflexota	Chloroflexia	Chloroflexales	21	15	71.4	15	71.4
Thermoproteota	Bathyarchaeia	B26-1	21	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	Ectothiorhodospirales	21	10	47.6	10	47.6
Desulfobacterota	DSM-4660	Desulfatiglandales	20	3	15.0	3	15.0
Pseudomonadota	Alphaproteobacteria	Parvibaculales	20	6	30.0	6	30.0
Bacillota	Bacilli	Brevibacillales	20	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	Rhodospirillales	20	20	100.0	20	100.0
Actinomycetota	Acidimicrobiia	UBA5794	20	1	5.0	1	5.0
Thermotogota	Thermotogae	Petrotogales	20	0	0.0	0	0.0
Eremiobacterota	Eremiobacteria	Baltobacterales	20	16	80.0	16	80.0
Acidobacteriota	Holophagae	Holophagales	20	0	0.0	0	0.0
Planctomycetota	Planctomycetia	Gemmatales	20	0	0.0	0	0.0
Acidobacteriota	Blastocatellia	Pyrinomonadales	20	0	0.0	0	0.0
Methylomirabilota	Methylomirabilia	Rokubacteriales	19	19	100.0	19	100.0
Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	19	2	10.5	2	10.5
Pseudomonadota	Gammaproteobacteria	Competibacterales	19	19	100.0	19	100.0
Patescibacteria	Paceibacteria	UBA9983	19	0	0.0	0	0.0
Planctomycetota	Brocadiia	Brocadiales	19	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	Acidithiobacillales	18	0	0.0	0	0.0
Bacteroidota	Bacteroidia	AKYH767-A	18	1	5.6	1	5.6
Pseudomonadota	Gammaproteobacteria	Nitrococcales	18	18	100.0	18	100.0
Nanoarchaeota	Nanoarchaeia	SCGC-AAA011-G17	18	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	Woeseiales	18	1	5.6	1	5.6
Chloroflexota	Anaerolineae	Promineofilales	18	6	33.3	6	33.3
Chloroflexota	Dehalococcoidia	Dehalococcoidales	18	0	0.0	0	0.0
Pseudomonadota	Magnetococcia	Magnetococcales	18	18	100.0	18	100.0
Acidobacteriota	Terriglobia	Acidoferrales	18	0	0.0	0	0.0
Armatimonadota	Fimbriimonadia	Fimbriimonadales	18	0	0.0	0	0.0
Planctomycetota	UBA1135	UBA1135	17	0	0.0	0	0.0
Dormibacterota	Dormibacteria	UBA8260	17	2	11.8	2	11.8
Desulfobacterota_F	Desulfuromonadia	Desulfuromonadales	17	1	5.9	1	5.9
Myxococcota	UBA796	UBA796	17	8	47.1	8	47.1
Chloroflexota	Anaerolineae	Caldilineales	17	2	11.8	2	11.8
Omnitrophota	Koll11	GIF10	17	0	0.0	0	0.0
Planctomycetota	Phycisphaerae	Sedimentisphaerales	16	0	0.0	0	0.0
Omnitrophota	Koll11	Zapsychrales	16	0	0.0	0	0.0
Chloroflexota	Dehalococcoidia	GIF9	16	1	6.2	1	6.2
Spirochaetota	Spirochaetia	Borreliales	16	0	0.0	0	0.0
Dependentiae	Babeliae	Babeliales	16	0	0.0	0	0.0
Bacillota_A	Clostridia	Monoglobales	16	0	0.0	0	0.0
Patescibacteria	WWE3	UBA101185	15	0	0.0	0	0.0
SZUA-79	SZUA-79	Acidulodesulfobacterales	15	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	Nevskiales	15	11	73.3	11	73.3
Verrucomicrobiota	Lentisphaeria	UBA1407	15	0	0.0	0	0.0
Nitrospinota	Nitrospinia	Nitrospinales	15	1	6.7	1	6.7
Bacillota	Bacilli	Izemoplasmatales	15	0	0.0	0	0.0
Halobacteriota	Methanosarcinia	Methanotrichales	15	0	0.0	0	0.0
Actinomycetota	Actinomycetia	Nitriliruptorales	15	1	6.7	1	6.7
Pseudomonadota	Alphaproteobacteria	Micropepsales	14	14	100.0	14	100.0
Pseudomonadota	Gammaproteobacteria	Acidiferrobacterales	14	2	14.3	2	14.3
Myxococcota_A	UBA9160	UBA9160	14	4	28.6	4	28.6
Poribacteria	WGA-4E	WGA-4E	14	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	Nitrosococcales	14	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	GCA-002705445	14	0	0.0	0	0.0
Spirochaetota	Spirochaetia	DSM-27196	14	0	0.0	0	0.0
Bacillota	Bacilli	Alicyclobacillales	13	0	0.0	0	0.0
Patescibacteria	Microgenomatia	Daviesbacterales	13	0	0.0	0	0.0
Actinomycetota	Thermoleophilia	Gaiellales	13	2	15.4	2	15.4
Planctomycetota	Phycisphaerae	UBA1845	13	8	61.5	8	61.5
Acidobacteriota	Thermoanaerobaculia	UBA5704	13	7	53.8	7	53.8
Bacillota_B	Syntrophomonadia	Syntrophomonadales	13	7	53.8	7	53.8
Bacillota_A	Clostridia	UBA1212	13	0	0.0	0	0.0
Desulfobacterota_G	Syntrophorhabdia	Syntrophorhabdales	13	0	0.0	0	0.0
Patescibacteria	Paceibacteria	2-02-FULL-40-12	13	0	0.0	0	0.0
Marinisomatota	Marinisomatia	SCGC-AAA003-L08	12	0	0.0	0	0.0
Patescibacteria	Paceibacteria	Portnoybacterales	12	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	UBA4486	12	10	83.3	10	83.3
Bacteroidota	Ignavibacteria	SJA-28	12	0	0.0	0	0.0
Verrucomicrobiota	Verrucomicrobiae	Methylacidiphilales	12	0	0.0	0	0.0
Nanoarchaeota	Nanoarchaeia	Parvarchaeales	12	0	0.0	0	0.0
Bacillota_B	Desulfitobacteriia	Desulfitobacteriales	12	1	8.3	1	8.3
Bacillota_F	Halanaerobiia	Halanaerobiales	12	0	0.0	0	0.0
Cyanobacteriota	Vampirovibrionia	Obscuribacterales	12	0	0.0	0	0.0
Acidobacteriota	Aminicenantia	Aminicenantales	12	0	0.0	0	0.0
Iainarchaeota	Iainarchaeia	Iainarchaeales	12	0	0.0	0	0.0
Thermoplasmatota	Thermoplasmata	UBA184	12	2	16.7	2	16.7
Bacillota_E	Sulfobacillia	Sulfobacillales	12	0	0.0	0	0.0
Bdellovibrionota	UBA1018	UBA1018	11	0	0.0	0	0.0
Chloroflexota	Limnocylindria	P2-11E	11	0	0.0	0	0.0
Thermoproteota	Nitrososphaeria_A	Caldarchaeales	11	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	Thiomicrospirales	11	0	0.0	0	0.0
Halobacteriota	Archaeoglobi	Archaeoglobales	11	6	54.5	6	54.5
Elusimicrobiota	Endomicrobia	Endomicrobiales	11	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	Coxiellales	11	0	0.0	0	0.0
Bacillota_B	Peptococcia	Peptococcales	11	1	9.1	1	9.1
Patescibacteria	ABY1	UBA1558	11	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	Reyranellales	11	11	100.0	11	100.0
Pseudomonadota	Alphaproteobacteria	Thalassobaculales	11	3	27.3	3	27.3
Hydrogenedentota	Hydrogenedentia	Hydrogenedentiales	11	0	0.0	0	0.0
Bacillota	Bacilli	Thermoactinomycetales	10	0	0.0	0	0.0
Nitrospirota_A	Leptospirillia	Leptospirillales	10	0	0.0	0	0.0
Methylomirabilota	Methylomirabilia	Methylomirabilales	10	4	40.0	4	40.0
Aquificota	Aquificae	Aquificales	10	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	Cardiobacteriales	10	0	0.0	0	0.0
Omnitrophota	Koll11	Duberdicusellales	10	0	0.0	0	0.0
Chloroflexota	Dehalococcoidia	Tepidiformales	10	7	70.0	7	70.0
Cyanobacteriota	Cyanobacteriia	Elainellales	10	2	20.0	2	20.0
Bipolaricaulota	Bipolaricaulia	Bipolaricaulales	10	0	0.0	0	0.0
Thermoproteota	Thermoprotei	Thermoproteales	10	0	0.0	0	0.0
Actinomycetota	Acidimicrobiia	IMCC26256	10	0	0.0	0	0.0
Cyanobacteriota	Cyanobacteriia	Phormidesmiales	10	1	10.0	1	10.0
Pseudomonadota	Alphaproteobacteria	TMED127	10	1	10.0	1	10.0
Latescibacterota	UBA2968	UBA8231	10	0	0.0	0	0.0
Patescibacteria	Dojkabacteria	SC72	10	0	0.0	0	0.0
Bacillota_A	Thermoanaerobacteria	Thermoanaerobacterales	9	0	0.0	0	0.0
Asgardarchaeota	Thorarchaeia	Thorarchaeales	9	0	0.0	0	0.0
Bacillota	Bacilli	Bacillales_G	9	0	0.0	0	0.0
Chloroflexota	Anaerolineae	B4-G1	9	0	0.0	0	0.0
Spirochaetota	Brachyspirae	Brachyspirales	9	0	0.0	0	0.0
Thermoplasmatota	Poseidoniia	MGIII	9	0	0.0	0	0.0
Deferribacterota	Deferribacteres	Deferribacterales	9	0	0.0	0	0.0
Bacillota_A	Clostridia	Caldicoprobacterales	9	0	0.0	0	0.0
Krumholzibacteriota	Krumholzibacteria	LZORAL124-64-63	9	0	0.0	0	0.0
Latescibacterota	UBA2968	UBA2968	9	0	0.0	0	0.0
Myxococcota	UBA9042	UBA9042	9	7	77.8	7	77.8
Myxococcota	Polyangia	Fen-1088	9	0	0.0	0	0.0
Omnitrophota	Omnitrophia	Omnitrophales	9	0	0.0	0	0.0
Patescibacteria	Microgenomatia	UBA12405	9	0	0.0	0	0.0
Pseudomonadota	Zetaproteobacteria	Mariprofundales	9	0	0.0	0	0.0
Elusimicrobiota	Elusimicrobia	UBA1565	9	1	11.1	1	11.1
Chloroflexota	Chloroflexia	Thermomicrobiales	8	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	Beggiatoales	8	4	50.0	4	50.0
Desulfobacterota	Thermodesulfobacteria	Thermodesulfobacteriales	8	0	0.0	0	0.0
Planctomycetota	UBA8108	UBA1146	8	0	0.0	0	0.0
Bacillota_A	Clostridia	Acetivibrionales_A	8	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	MED-G09	8	0	0.0	0	0.0
Thermoplasmatota	E2	DHVEG-1	8	0	0.0	0	0.0
Patescibacteria	Doudnabacteria	UBA920	8	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	UBA11654	8	0	0.0	0	0.0
Dormibacterota	Dormibacteria	CF-121	8	0	0.0	0	0.0
Thermoproteota	Thermoprotei	Thermofilales	8	0	0.0	0	0.0
Bacillota_G	Limnochordia	DTU010	8	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	Ga0077536	8	8	100.0	8	100.0
Micrarchaeota	Micrarchaeia	Anstonellales	8	0	0.0	0	0.0
Actinomycetota	Humimicrobiia	Humimicrobiales	8	0	0.0	0	0.0
Desulfobacterota_D	UBA1144	RKRQ01	8	0	0.0	0	0.0
Cyanobacteriota	Cyanobacteriia	Thermosynechococcales	8	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	TMED25	8	0	0.0	0	0.0
Desulfobacterota_E	Deferrimicrobia	Deferrimicrobiales	8	0	0.0	0	0.0
Desulfobacterota_B	Binatia	UBA9968	8	0	0.0	0	0.0
Methanobacteriota	Methanococci	Methanococcales	8	0	0.0	0	0.0
Verrucomicrobiota	Kiritimatiellia	Kiritimatiellales	8	0	0.0	0	0.0
Acidobacteriota	Thermoanaerobaculia	UBA5066	8	0	0.0	0	0.0
Asgardarchaeota	Lokiarchaeia	CR-4	8	0	0.0	0	0.0
Desulfobacterota	Syntrophobacteria	Syntrophobacterales	7	2	28.6	2	28.6
Marinisomatota	UBA2242	UBA2242	7	0	0.0	0	0.0
Patescibacteria	Microgenomatia	UBA10105	7	0	0.0	0	0.0
Desulfobacterota	Dissulfuribacteria	Dissulfuribacterales	7	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	MPNO01	7	4	57.1	4	57.1
Armatimonadota	Chthonomonadetes	Chthonomonadales	7	0	0.0	0	0.0
Nitrospirota	Thermodesulfovibrionia	UBA6902	7	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	TMED109	7	0	0.0	0	0.0
Planctomycetota	Phycisphaerae	WQYP01	7	0	0.0	0	0.0
Actinomycetota	Coriobacteriia	OPB41	7	0	0.0	0	0.0
Myxococcota	Polyangia	Haliangiales	7	6	85.7	6	85.7
Bacillota_B	DSM-12270	Thermacetogeniales	7	0	0.0	0	0.0
UBA8248	UBA8248	UBA8248	7	0	0.0	0	0.0
Actinomycetota	Rubrobacteria	Rubrobacterales	7	7	100.0	7	100.0
Desulfobacterota_D	UBA1144	UBA1144	7	0	0.0	0	0.0
Thermoproteota	Bathyarchaeia	40CM-2-53-6	7	0	0.0	0	0.0
Verrucomicrobiota	Kiritimatiellia	SLAD01	7	0	0.0	0	0.0
Chloroflexota	Dehalococcoidia	UBA2979	7	1	14.3	1	14.3
Riflebacteria	Ozemobacteria	Ozemobacterales	7	5	71.4	5	71.4
Thermoplasmatota	Thermoplasmata	RBG-16-68-12	7	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	Comchoanobacterales	6	0	0.0	0	0.0
Desulfobacterota	Desulfomonilia	UBA1062	6	4	66.7	4	66.7
Cyanobacteriota	Cyanobacteriia	Leptolyngbyales	6	0	0.0	0	0.0
Bacillota_G	SHA-98	DTUO25	6	0	0.0	0	0.0
Bacillota_A	Clostridia	UMGS1810	6	0	0.0	0	0.0
Verrucomicrobiota	Kiritimatiellia	LD1-PB3_B	6	0	0.0	0	0.0
Bacillota_A	Clostridia	UMGS1883	6	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	UBA9219	6	6	100.0	6	100.0
Cyanobacteriota	Cyanobacteriia	Pseudanabaenales	6	0	0.0	0	0.0
Desulfobacterota_F	GWC2-55-46	GWC2-55-46	6	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	GCA-2729495	6	2	33.3	2	33.3
Bipolaricaulota	Bipolaricaulia	RBG-16-55-9	6	0	0.0	0	0.0
Planctomycetota	Planctomycetia	Isosphaerales	6	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	ATCC43930	6	6	100.0	6	100.0
Pseudomonadota	Alphaproteobacteria	UBA6615	6	4	66.7	4	66.7
Bacteroidota	Kryptonia	Kryptoniales	6	0	0.0	0	0.0
Gemmatimonadota	Gemmatimonadetes	KS3-K002	6	0	0.0	0	0.0
Firestonebacteria	D2-FULL-39-29	D2-FULL-39-29	6	0	0.0	0	0.0
Ratteibacteria	UBA8468	B48-G9	6	0	0.0	0	0.0
UBP6	UBA1177	UBA1177	6	0	0.0	0	0.0
Bacillota	Bacilli	Bacillales_K	6	0	0.0	0	0.0
Micrarchaeota	Micrarchaeia	Norongarragalinales	6	0	0.0	0	0.0
JAAXHH01	JAAXHH01	JAAXHH01	6	0	0.0	0	0.0
Bacillota_A	Thermosediminibacteria	Thermosediminibacterales	6	0	0.0	0	0.0
Chloroflexota	Dehalococcoidia	UBA2963	6	0	0.0	0	0.0
Verrucomicrobiota	Kiritimatiellia	LD1-PB3_A	6	0	0.0	0	0.0
Bacillota_E	DTU015	DTU015	6	0	0.0	0	0.0
Nanohaloarchaeota	Nanosalinia	Nanosalinales	6	0	0.0	0	0.0
Calditrichota	Calditrichia	RBG-13-44-9	6	0	0.0	0	0.0
Bacillota_B	Moorellia	Moorellales	6	0	0.0	0	0.0
Thermoproteota	Methanomethylicia	Methanomethylicales	6	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	Kiloniellales	6	6	100.0	6	100.0
Actinomycetota	Thermoleophilia	Miltoncostaeales	6	1	16.7	1	16.7
Pseudomonadota	Gammaproteobacteria	Halothiobacillales	6	0	0.0	0	0.0
Aquificota	Aquificae	Hydrogenothermales	6	0	0.0	0	0.0
KSB1	UBA2214	DRLW01	6	0	0.0	0	0.0
Calditrichota	Calditrichia	Calditrichales	6	0	0.0	0	0.0
