gtdb_phylum	gtdb_class	gtdb_order	n_species	n_phaC	pct_phaC	n_complete	pct_complete
Bacteroidota	Bacteroidia	Bacteroidales	1922	6	0.3	3	0.2
Bacillota_A	Clostridia	Oscillospirales	1439	9	0.6	9	0.6
Pseudomonadota	Gammaproteobacteria	Burkholderiales	1379	1059	76.8	1056	76.6
Bacillota_A	Clostridia	Lachnospirales	1282	38	3.0	24	1.9
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	1188	801	67.4	801	67.4
Actinomycetota	Actinomycetia	Actinomycetales	871	24	2.8	16	1.8
Bacteroidota	Bacteroidia	Flavobacteriales	853	3	0.4	3	0.4
Pseudomonadota	Alphaproteobacteria	Rhizobiales	813	718	88.3	718	88.3
Bacillota	Bacilli	Lactobacillales	697	17	2.4	17	2.4
Actinomycetota	Actinomycetia	Mycobacteriales	689	408	59.2	408	59.2
Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	581	219	37.7	217	37.3
Pseudomonadota	Gammaproteobacteria	Enterobacterales	472	11	2.3	11	2.3
Bacillota_A	Clostridia	Christensenellales	449	1	0.2	1	0.2
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	415	392	94.5	392	94.5
Actinomycetota	Coriobacteriia	Coriobacteriales	394	3	0.8	2	0.5
Actinomycetota	Actinomycetia	Streptomycetales	393	7	1.8	7	1.8
Bacillota	Bacilli	Bacillales	322	145	45.0	140	43.5
Actinomycetota	Acidimicrobiia	Acidimicrobiales	303	34	11.2	34	11.2
Pseudomonadota	Alphaproteobacteria	Sphingomonadales	292	280	95.9	280	95.9
Pseudomonadota	Gammaproteobacteria	Xanthomonadales	289	266	92.0	266	92.0
Bacteroidota	Bacteroidia	Chitinophagales	286	47	16.4	47	16.4
Pseudomonadota	Alphaproteobacteria	Pelagibacterales	265	13	4.9	13	4.9
Campylobacterota	Campylobacteria	Campylobacterales	265	0	0.0	0	0.0
Bacillota	Bacilli	RF39	251	0	0.0	0	0.0
Patescibacteria	Paceibacteria	UBA9983_A	208	0	0.0	0	0.0
Bacillota_A	Clostridia	Peptostreptococcales	168	5	3.0	5	3.0
Cyanobacteriota	Cyanobacteriia	PCC-6307	167	0	0.0	0	0.0
Verrucomicrobiota	Verrucomicrobiae	Opitutales	162	0	0.0	0	0.0
Bacillota	Bacilli	Erysipelotrichales	157	8	5.1	1	0.6
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	156	36	23.1	35	22.4
Pseudomonadota	Alphaproteobacteria	Acetobacterales	152	70	46.1	70	46.1
Bacillota_A	Clostridia	TANB77	151	0	0.0	0	0.0
Actinomycetota	Actinomycetia	Nanopelagicales	149	3	2.0	3	2.0
Bacillota	Bacilli	Paenibacillales	149	0	0.0	0	0.0
Spirochaetota	Spirochaetia	Treponematales	143	3	2.1	3	2.1
Pseudomonadota	Alphaproteobacteria	Caulobacterales	142	141	99.3	141	99.3
Bacteroidota	Bacteroidia	Cytophagales	141	1	0.7	1	0.7
Thermoplasmatota	Poseidoniia	Poseidoniales	141	0	0.0	0	0.0
Bacillota_A	Clostridia	Clostridiales	122	3	2.5	3	2.5
Halobacteriota	Halobacteria	Halobacteriales	120	74	61.7	74	61.7
Actinomycetota	Actinomycetia	Propionibacteriales	113	55	48.7	55	48.7
Bacillota	Bacilli	Mycoplasmatales	109	0	0.0	0	0.0
Chloroflexota	Anaerolineae	Anaerolineales	103	1	1.0	1	1.0
Bacillota	Bacilli	Staphylococcales	101	0	0.0	0	0.0
Patescibacteria	Saccharimonadia	Saccharimonadales	99	1	1.0	1	1.0
Planctomycetota	Planctomycetia	Pirellulales	95	4	4.2	4	4.2
Bacillota	Bacilli	RFN20	95	0	0.0	0	0.0
Bacillota_C	Negativicutes	Veillonellales	94	5	5.3	4	4.3
Pseudomonadota	Gammaproteobacteria	Methylococcales	93	13	14.0	13	14.0
Pseudomonadota	Gammaproteobacteria	SAR86	90	0	0.0	0	0.0
Bacteroidota	Bacteroidia	Sphingobacteriales	90	0	0.0	0	0.0
Bacillota_A	Clostridia	Tissierellales	87	14	16.1	14	16.1
Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	86	3	3.5	0	0.0
Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	85	2	2.4	2	2.4
Desulfobacterota	Desulfovibrionia	Desulfovibrionales	84	0	0.0	0	0.0
Thermoproteota	Nitrososphaeria	Nitrososphaerales	84	65	77.4	65	77.4
Planctomycetota	Phycisphaerae	Phycisphaerales	81	1	1.2	1	1.2
Acidobacteriota	Terriglobia	Terriglobales	79	8	10.1	8	10.1
Bacillota_C	Negativicutes	Selenomonadales	78	1	1.3	0	0.0
Cyanobacteriota	Vampirovibrionia	Gastranaerophilales	77	0	0.0	0	0.0
Actinomycetota	Actinomycetia	Streptosporangiales	76	23	30.3	23	30.3
Desulfobacterota	Desulfobacteria	Desulfobacterales	71	29	40.8	29	40.8
Pseudomonadota	Alphaproteobacteria	Rickettsiales	70	22	31.4	22	31.4
Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	65	1	1.5	1	1.5
Methanobacteriota	Methanobacteria	Methanobacteriales	64	0	0.0	0	0.0
Pseudomonadota	Gammaproteobacteria	Legionellales	64	61	95.3	61	95.3
Marinisomatota	Marinisomatia	Marinisomatales	61	0	0.0	0	0.0
Pseudomonadota	Alphaproteobacteria	RF32	60	0	0.0	0	0.0
Bacillota	Bacilli	Bacillales_D	59	0	0.0	0	0.0
Thermoplasmatota	Thermoplasmata	Thermoplasmatales	58	0	0.0	0	0.0
Fusobacteriota	Fusobacteriia	Fusobacteriales	58	3	5.2	0	0.0
Pseudomonadota	Gammaproteobacteria	Chromatiales	58	40	69.0	40	69.0
Synergistota	Synergistia	Synergistales	57	1	1.8	0	0.0
