ogId	best_condition	max_concordance	max_strong_concordance	n_condition_classes	n_concordant_conditions	total_organisms
10428	motility	1.0	1.0	1	1	3
10446	motility	1.0	0.6666666666666666	1	1	3
10455	motility	1.0	1.0	1	1	3
10460	motility	1.0	0.3333333333333333	1	1	3
1059	stress	1.0	0.7142857142857143	1	1	7
1089	stress	1.0	0.75	1	1	4
1125	stress	1.0	1.0	1	1	3
11386	carbon source	1.0	1.0	1	1	8
11473	carbon source	1.0	0.6666666666666666	1	1	3
12194	carbon source	1.0	1.0	1	1	6
12516	carbon source	1.0	1.0	1	1	4
12530	carbon source	1.0	1.0	1	1	4
12577	carbon source	1.0	1.0	1	1	3
12594	carbon source	1.0	0.3333333333333333	1	1	3
12602	carbon source	1.0	0.6666666666666666	1	1	3
13146	carbon source	1.0	1.0	1	1	3
13444	carbon source	1.0	1.0	1	1	3
13700	carbon source	1.0	0.6666666666666666	1	1	3
13709	carbon source	1.0	0.75	1	1	4
14187	carbon source	1.0	1.0	1	1	4
14604	carbon source	1.0	0.6666666666666666	1	1	3
14628	carbon source	1.0	1.0	1	1	5
14946	carbon source	0.6666666666666666	0.3333333333333333	1	1	3
15006	carbon source	1.0	0.8571428571428571	1	1	7
15010	carbon source	0.8571428571428571	0.8571428571428571	1	1	7
15023	carbon source	1.0	0.75	1	1	4
15040	carbon source	1.0	0.6666666666666666	1	1	3
16403	carbon source	1.0	0.6666666666666666	1	1	3
16609	carbon source	1.0	1.0	1	1	4
17308	nitrogen source	1.0	0.0	1	1	3
17454	nitrogen source	1.0	0.9	1	1	10
17460	nitrogen source	1.0	0.3333333333333333	1	1	3
17746	nitrogen source	1.0	1.0	1	1	3
18156	nitrogen source	1.0	0.7	1	1	10
18781	nitrogen source	1.0	1.0	1	1	5
19163	nitrogen source	1.0	1.0	1	1	3
19199	nitrogen source	1.0	0.25	1	1	4
19571	nitrogen source	1.0	1.0	1	1	3
19589	nitrogen source	1.0	1.0	1	1	4
20693	nitrogen source	1.0	0.3333333333333333	1	1	3
2379	stress	1.0	0.8	1	1	5
2387	stress	1.0	0.3333333333333333	1	1	3
2403	stress	1.0	1.0	1	1	3
2406	stress	1.0	1.0	1	1	3
2691	stress	1.0	0.5	1	1	4
3384	stress	1.0	0.5	1	1	6
3388	stress	1.0	0.8333333333333334	1	1	6
3420	stress	0.6666666666666666	0.6666666666666666	1	1	3
3532	stress	1.0	0.3333333333333333	1	1	3
5097	stress	1.0	0.6666666666666666	1	1	3
5114	stress	1.0	0.75	1	1	4
5812	stress	1.0	0.625	1	1	8
5815	stress	1.0	0.75	1	1	8
5858	stress	1.0	0.3333333333333333	1	1	3
617	stress	1.0	0.75	1	1	4
6985	stress	1.0	0.6666666666666666	1	1	3
7838	stress	1.0	0.3333333333333333	1	1	3
8090	stress	1.0	1.0	1	1	3
8465	stress	0.5	0.25	1	0	4
8466	stress	0.75	0.25	1	1	4
8493	stress	1.0	0.25	1	1	4
8783	stress	1.0	1.0	1	1	3
9753	stress	1.0	0.6666666666666666	1	1	3
9765	stress	1.0	1.0	1	1	4
9772	stress	1.0	0.6666666666666666	1	1	3
