genus	root_og	n_clusters
Vibrio	COG1396	1901
Vibrio	COG1566	1088
Klebsiella	COG0265	179
Streptococcus	COG1670	2089
Streptococcus	COG0469	269
Streptococcus	COG0486	284
Streptococcus	COG1181	745
Vibrio	COG1540	168
Acinetobacter	COG1017	125
Streptococcus	COG1725	307
Staphylococcus	COG1989	66
Neisseria	COG1573	84
Klebsiella	301Z8	14
Burkholderia	COG1317	202
Corynebacterium	COG0803	613
Klebsiella	COG3563	12
Campylobacter	COG0846	15
Erwinia	337U1	7
Mycobacterium	COG0647	411
Burkholderia	COG0253	89
Listeria	COG1942	27
Mycobacterium	COG0860	491
Legionella	COG5002	58
Acinetobacter	2Z7QA	49
Corynebacterium	COG1062	183
Mycobacterium	COG0212	206
Pseudomonas	COG0489	58
Mycobacterium	339M2	2
Corynebacterium	COG2851	73
Burkholderia	COG0275	57
Burkholderia	COG1816	113
Salmonella	COG2197	243
Burkholderia	COG3440	154
Burkholderia	COG3618	466
Burkholderia	COG5319	57
Legionella	COG0217	33
Yersinia	COG3741	25
Acinetobacter	COG2357	115
Francisella	COG3087	33
Burkholderia	339UJ	41
Bacillus	COG2027	40
Staphylococcus	COG0318	274
Chromobacterium	COG0842	50
Staphylococcus	COG2755	217
Acinetobacter	COG3853	115
Erwinia	COG0604	135
Streptococcus	COG0196	253
Serratia	COG0584	38
Neisseria	COG4925	8
Mycobacterium	COG3609	79
Mycobacterium	COG0467	131
Staphylococcus	COG3064	305
Listeria	COG0613	13
Acinetobacter	COG3698	102
Enterococcus	COG1737	262
Enterococcus	COG0332	22
Serratia	COG1651	121
Helicobacter	COG0146	12
Burkholderia	332ZH	169
Pseudomonas	COG3508	24
Pseudomonas	COG1529	119
Acinetobacter	COG2957	52
Pseudomonas	COG2356	60
Acinetobacter	2ZAP2	54
Pseudomonas	COG0664	190
Burkholderia	33CJ3	50
Listeria	COG1357	126
Burkholderia	COG3332	52
Salmonella	COG0136	28
Klebsiella	COG5581	47
Corynebacterium	COG5377	57
Pseudomonas	COG1896	20
Listeria	COG5314	1
Serratia	COG2091	14
Klebsiella	32W93	21
Burkholderia	COG1715	176
Streptococcus	COG3619	331
Yersinia	COG3517	82
Acinetobacter	2ZBSK	24
Serratia	COG4386	49
Acinetobacter	COG4382	70
Serratia	COG5000	6
Vibrio	COG0476	511
Vibrio	COG3039	1447
Vibrio	COG2165	2123
Vibrio	COG1280	1896
Vibrio	COG0829	63
Vibrio	COG0304	592
Klebsiella	COG2249	225
Proteus	COG0834	52
Mycobacterium	COG3103	312
Vibrio	32Z29	113
Neisseria	COG2267	115
Mycobacterium	COG2860	110
Staphylococcus	COG2244	390
Klebsiella	COG0745	1078
Acinetobacter	COG0807	304
Acinetobacter	COG1305	295
Acinetobacter	COG1045	257
Burkholderia	COG0534	223
Mycobacterium	COG0629	415
Streptococcus	COG0601	378
Mycobacterium	COG0814	6
Pseudomonas	COG0009	43
Pseudomonas	COG2303	238
Burkholderia	330EW	85
Corynebacterium	COG2354	134
Proteus	COG0659	44
Vibrio	COG2968	133
Yersinia	COG3778	85
Mycobacterium	COG1921	128
Yersinia	COG1232	14
Burkholderia	COG0390	58
Klebsiella	COG0517	169
Corynebacterium	COG1853	155
Bacillus	COG0146	28
Corynebacterium	COG0283	130
Klebsiella	COG0179	210
Mycobacterium	COG3384	305
Corynebacterium	COG1690	62
Legionella	COG2941	52
Legionella	COG1868	25
Yersinia	32USX	16
Yersinia	COG0042	84
Burkholderia	COG1495	96
Burkholderia	2ZAWA	4
Acinetobacter	COG1064	342
Burkholderia	331AW	9
Burkholderia	316H9	61
Burkholderia	COG3386	344
Staphylococcus	COG2197	351
Vibrio	COG0009	302
Serratia	COG0863	96
Yersinia	COG2732	36
Corynebacterium	COG2423	190
Klebsiella	COG1225	42
Neisseria	COG3655	6
Klebsiella	COG0846	190
Vibrio	COG3161	132
Pseudomonas	COG2882	15
Streptococcus	COG2508	224
Vibrio	COG2853	131
Bacillus	COG3593	116
Francisella	COG0456	43
Erwinia	COG2215	21
Staphylococcus	COG2314	181
Staphylococcus	COG1082	142
Streptococcus	COG0183	190
Burkholderia	2ZRM4	88
Vibrio	COG3726	126
Vibrio	COG0382	178
Acinetobacter	COG3938	46
Vibrio	32ZGA	147
Staphylococcus	COG0177	74
Pseudomonas	COG2995	55
Klebsiella	COG4747	21
Legionella	COG0484	93
Serratia	COG4861	5
Helicobacter	COG0563	14
Salmonella	COG2831	43
Staphylococcus	COG0431	124
Klebsiella	COG4262	42
Neisseria	COG0563	65
Mycobacterium	COG4298	67
Legionella	COG0179	41
Legionella	COG2207	69
Klebsiella	334GK	25
Klebsiella	COG1385	30
Corynebacterium	COG3723	17
Burkholderia	COG2761	124
Mycobacterium	COG0432	163
Streptococcus	COG1055	21
Vibrio	COG1708	396
Vibrio	COG0515	917
Mycobacterium	COG0803	325
Acinetobacter	COG0732	2042
Acinetobacter	COG2890	327
Mycobacterium	COG1418	395
