genus	root_og	n_clusters
Neisseria	COG0697	420
Neisseria	COG0389	110
Corynebacterium	COG0791	610
Mycobacterium	COG0524	785
Staphylococcus	COG1670	731
Acinetobacter	COG0667	426
Acinetobacter	COG0666	424
Acinetobacter	COG0443	464
Acinetobacter	COG0484	566
Serratia	COG1247	67
Corynebacterium	COG1399	127
Clostridioides	COG4637	4
Clostridioides	COG2340	55
Vibrio	COG0814	585
Corynebacterium	COG2124	87
Burkholderia	COG0667	858
Klebsiella	COG4232	81
Corynebacterium	COG0842	482
Neisseria	32YPG	15
Francisella	COG0042	26
Burkholderia	COG1070	316
Burkholderia	COG0497	127
Corynebacterium	COG2151	170
Staphylococcus	COG0847	186
Vibrio	COG2168	136
Neisseria	COG4899	25
Mycobacterium	COG3616	168
Listeria	COG0665	37
Mycobacterium	COG1940	746
Vibrio	COG2825	127
Vibrio	COG1450	536
Bacillus	COG0347	41
Acinetobacter	COG1898	260
Mycobacterium	COG2730	189
Helicobacter	COG0859	105
Legionella	COG0853	35
Klebsiella	33EWN	52
Klebsiella	COG3630	39
Klebsiella	COG4385	474
Yersinia	COG1516	57
Yersinia	COG0425	42
Burkholderia	COG4291	55
Klebsiella	COG4834	94
Burkholderia	COG3781	144
Burkholderia	2ZV3X	50
Burkholderia	COG4932	119
Burkholderia	340QR	17
Burkholderia	COG0489	411
Staphylococcus	COG5410	31
Pseudomonas	COG0633	101
Serratia	COG0664	37
Bacillus	COG1058	38
Acinetobacter	COG0797	119
Klebsiella	COG3189	53
Erwinia	COG3427	5
Staphylococcus	COG2963	463
Salmonella	COG0030	17
Serratia	COG0179	64
Acinetobacter	COG0175	450
Acinetobacter	COG1778	121
Yersinia	COG0634	25
Acinetobacter	COG1171	252
Pseudomonas	33UYR	13
Pseudomonas	2Z8NN	41
Mycobacterium	COG1510	98
Helicobacter	COG3399	13
Pseudomonas	COG0210	502
Acinetobacter	32UGB	170
Vibrio	COG0179	360
Bacillus	COG4895	16
Serratia	COG5001	80
Burkholderia	COG4397	46
Proteus	COG1280	118
Burkholderia	COG4395	61
Bacillus	COG0656	128
Bacillus	COG1893	66
Bacillus	COG1963	33
Vibrio	32RK9	10
Streptococcus	COG2035	183
Proteus	COG0009	29
Acinetobacter	COG3693	76
Salmonella	COG2885	51
Mycobacterium	COG3918	187
Chromobacterium	COG2377	14
Legionella	COG0695	129
Enterococcus	COG2230	19
Chromobacterium	COG1077	16
Serratia	COG4701	10
Salmonella	COG0436	49
Klebsiella	COG3741	28
Serratia	32TTG	3
Klebsiella	COG1162	35
Proteus	COG0406	40
Corynebacterium	COG2079	113
Acinetobacter	COG0598	264
Proteus	COG1787	14
Erwinia	COG3328	139
Burkholderia	COG0166	71
Erwinia	COG4635	18
Burkholderia	COG0358	253
Staphylococcus	COG1804	14
Vibrio	COG1835	546
Chromobacterium	COG0834	676
Campylobacter	COG0621	53
Proteus	COG0454	304
Streptococcus	COG2323	205
Vibrio	COG0847	867
Acinetobacter	COG3706	1237
Acinetobacter	COG3553	116
Streptococcus	COG2273	68
Neisseria	COG1180	78
Corynebacterium	COG5512	128
Streptococcus	COG0500	1517
Streptococcus	COG3883	236
Burkholderia	COG3383	264
Acinetobacter	COG0456	1774
Salmonella	COG0860	35
Vibrio	COG0708	283
Burkholderia	COG1529	562
Mycobacterium	COG2345	549
Legionella	COG3930	31
Klebsiella	COG1432	63
Mycobacterium	COG4222	117
Mycobacterium	COG4634	21
Acinetobacter	COG0624	224
Vibrio	COG1846	1379
Neisseria	COG0366	49
Burkholderia	COG2244	363
Yersinia	COG2226	226
Vibrio	COG1171	247
Vibrio	COG3847	311
Mycobacterium	COG4758	432
Mycobacterium	COG4913	160
Corynebacterium	COG1061	638
Vibrio	33FP6	15
Pseudomonas	COG3539	253
Acinetobacter	COG4269	57
Acinetobacter	COG1434	263
Legionella	COG0115	42
Yersinia	COG1198	69
Yersinia	COG0741	396
Yersinia	COG4969	24
Yersinia	COG0209	65
Yersinia	COG1310	71
Burkholderia	COG1898	251
Streptococcus	COG0602	353
Vibrio	COG3293	209
Acinetobacter	COG0635	224
Mycobacterium	COG3267	149
Bacillus	COG1188	31
Enterococcus	COG0622	18
Salmonella	COG5562	7
Proteus	COG4683	18
Neisseria	COG1275	20
Acinetobacter	COG3668	144
Proteus	COG2104	13
Vibrio	COG3768	131
Acinetobacter	COG3194	111
Serratia	COG0251	64
Yersinia	COG1143	44
Erwinia	COG1974	122
Neisseria	COG2334	55
Bacillus	COG3153	52
Bacillus	COG1455	154
Listeria	COG1196	115
Burkholderia	2ZT5X	52
Listeria	COG4123	46
Vibrio	COG0026	153
Klebsiella	COG2272	61
Neisseria	COG0318	184
Enterococcus	COG0537	26
Erwinia	COG3239	21
Pseudomonas	COG2211	32
Enterococcus	COG4129	56
Erwinia	COG3126	16
Proteus	32ZW5	13
Chromobacterium	COG1914	25
Streptococcus	COG0665	267
Pseudomonas	COG3568	56
Chromobacterium	COG4795	9
Staphylococcus	COG0235	50
Erwinia	COG1680	57
Klebsiella	COG4795	41
Vibrio	2Z8T7	115
Legionella	COG2137	59
Burkholderia	COG0785	89
Burkholderia	31UX4	9
Klebsiella	COG3477	35
Burkholderia	COG3782	54
Staphylococcus	COG0196	87
Salmonella	COG0451	105
Vibrio	2ZH1S	42
Corynebacterium	COG3794	81
Klebsiella	COG0699	95
Klebsiella	COG0354	26
Acinetobacter	COG1082	93
Acinetobacter	COG4625	201
Mycobacterium	COG3325	70
Bacillus	COG0793	81
Mycobacterium	COG1269	37
Burkholderia	COG0823	159
Vibrio	COG2814	3114
Vibrio	COG3703	106
Vibrio	COG1757	539
Chromobacterium	COG2814	477
Streptococcus	COG1327	433
Streptococcus	COG0286	1455
Streptococcus	COG0006	522
Neisseria	COG1192	173
Acinetobacter	COG0741	1557
Neisseria	COG0449	73
Streptococcus	COG1234	364
Burkholderia	COG1028	6322
Klebsiella	COG0791	228
Serratia	COG4381	35
Klebsiella	32YQJ	23
Pseudomonas	COG1177	203
Acinetobacter	COG0243	288
Acinetobacter	COG0042	388
Salmonella	COG3083	11
Mycobacterium	COG2890	723
Pseudomonas	COG2183	29
Klebsiella	COG1122	57
Mycobacterium	COG1682	201
Streptococcus	COG0820	258
Neisseria	COG4095	57
Campylobacter	COG2932	60
Acinetobacter	COG0425	236
Proteus	COG4259	15
Corynebacterium	COG0135	110
Helicobacter	COG2604	30
Vibrio	COG0433	1030
Yersinia	COG0671	93
Bacillus	COG5504	66
Mycobacterium	COG0616	242
Serratia	COG0673	140
Bacillus	COG0352	67
Mycobacterium	COG0283	207
Bacillus	COG1234	66
Vibrio	COG2259	302
Klebsiella	COG1474	67
Legionella	COG0750	63
Streptococcus	COG3266	708
Streptococcus	32VVH	21
Burkholderia	COG3022	74
Burkholderia	COG0474	118
Helicobacter	COG3177	90
Staphylococcus	COG0720	113
Streptococcus	COG3237	370
Francisella	COG0344	10
Burkholderia	COG1278	318
Bacillus	COG1011	73
Bacillus	COG4282	104
Chromobacterium	COG2197	179
Chromobacterium	COG0789	95
Salmonella	COG3481	77
Yersinia	COG0816	26
Listeria	COG1714	22
Acinetobacter	32WJ6	21
Vibrio	COG2837	144
Burkholderia	COG1343	49
Listeria	COG3173	25
Vibrio	COG1621	211
Serratia	COG3915	39
Streptococcus	COG2919	250
Neisseria	COG1714	114
Staphylococcus	COG0759	66
Chromobacterium	COG0790	75
Streptococcus	COG1874	277
Vibrio	COG0679	317
Serratia	COG1670	176
Acinetobacter	COG1231	85
Bacillus	COG4682	18
Burkholderia	316MD	62
Staphylococcus	COG1304	81
Serratia	339VV	16
Bacillus	COG0701	47
Vibrio	COG4520	71
Serratia	COG0305	96
Listeria	COG0392	46
Acinetobacter	330RP	92
Serratia	COG2200	101
Helicobacter	COG3505	66
Neisseria	COG2885	224
Bacillus	COG0010	110
Chromobacterium	COG3626	16
Serratia	COG3843	108
Mycobacterium	COG1198	297
Erwinia	COG0767	20
Francisella	COG0591	21
Mycobacterium	COG4221	3939
Vibrio	COG2963	1601
Klebsiella	COG1285	47
Streptococcus	COG2846	16
Vibrio	COG1192	1213
Corynebacterium	COG1835	424
Acinetobacter	COG4773	835
Streptococcus	COG3843	979
Streptococcus	COG1024	288
Vibrio	COG1495	190
Pseudomonas	COG0697	473
Pseudomonas	COG2133	45
Enterococcus	COG0240	19
Enterococcus	COG0765	133
Klebsiella	COG0842	191
Burkholderia	COG1309	3594
Vibrio	COG0791	192
Salmonella	COG1396	296
Klebsiella	4QBAB	17
Pseudomonas	COG4197	38
Bacillus	COG1028	1140
Neisseria	COG1610	54
Neisseria	COG1346	82
Erwinia	COG0642	349
Vibrio	COG0702	573
Burkholderia	2Z7Z3	52
Acinetobacter	COG1033	32
Acinetobacter	COG1100	187
Acinetobacter	COG4177	121
Vibrio	COG4787	190
Mycobacterium	32SS8	53
Corynebacterium	COG1984	118
Legionella	COG0793	31
Pseudomonas	COG0699	84
Klebsiella	2Z7W5	125
Yersinia	COG1536	52
Burkholderia	COG1878	266
Burkholderia	2ZB55	9
Salmonella	COG4643	171
Corynebacterium	COG0598	126
Acinetobacter	COG0705	341
Klebsiella	30CXH	29
Salmonella	COG1708	36
Pseudomonas	COG3749	36
Mycobacterium	COG3505	183
Yersinia	COG0697	305
Yersinia	30A6T	36
Yersinia	COG4774	92
Legionella	COG0784	256
Mycobacterium	COG3221	69
Listeria	COG2427	19
Listeria	COG1944	11
Serratia	COG0384	42
Staphylococcus	COG0842	336
Bacillus	COG3507	155
Bacillus	COG0732	332
Burkholderia	32BI9	52
Helicobacter	COG0458	36
Pseudomonas	2Z9IB	78
Legionella	COG4994	39
Corynebacterium	COG0316	126
Streptococcus	COG3272	203
Klebsiella	COG0053	95
Enterococcus	COG0346	188
Legionella	COG0626	31
Francisella	COG0604	5
Chromobacterium	COG3631	48
Burkholderia	COG0758	102
Enterococcus	COG1660	20
Campylobacter	COG1942	15
Acinetobacter	30456	28
Salmonella	COG0667	108
Salmonella	2Z7W5	68
Salmonella	COG5471	14
Salmonella	COG1171	43
Listeria	COG1598	15
Serratia	COG5004	57
Clostridioides	COG0308	14
Acinetobacter	COG0271	123
Salmonella	COG0637	67
Salmonella	COG2367	25
Klebsiella	337SC	39
Proteus	COG2962	31
Vibrio	COG1434	459
Vibrio	COG0330	623
Vibrio	COG0286	1968
Mycobacterium	COG1216	1467
Klebsiella	COG0767	53
Klebsiella	COG3121	909
Mycobacterium	COG1024	9413
Mycobacterium	COG2038	210
Neisseria	COG3975	56
Streptococcus	COG2984	448
Streptococcus	COG1956	228
Streptococcus	COG4922	144
Acinetobacter	COG0220	246
Vibrio	COG2252	316
Klebsiella	COG4221	332
Burkholderia	COG1533	69
Mycobacterium	COG0799	192
Mycobacterium	COG3188	7
Klebsiella	2Z7HX	104
Bacillus	COG5529	12
Serratia	COG0614	132
Neisseria	31BX9	2
Legionella	COG1587	31
Erwinia	32RSY	17
Burkholderia	COG3753	52
Vibrio	COG1940	675
Vibrio	COG3258	92
Vibrio	2Z9K1	60
Vibrio	COG0137	160
Acinetobacter	32SB1	63
Acinetobacter	COG2184	194
Neisseria	COG2841	57
Pseudomonas	COG0715	269
Yersinia	COG0457	231
Yersinia	COG3218	20
Yersinia	330IE	24
Burkholderia	COG0560	340
Burkholderia	COG5321	38
Burkholderia	COG3505	466
Chromobacterium	COG1018	83
Klebsiella	30W7C	147
Staphylococcus	COG3688	70
Vibrio	COG3772	295
Burkholderia	COG1639	60
Yersinia	COG2062	23
Corynebacterium	COG0156	76
Burkholderia	COG1463	271
Vibrio	COG0145	34
Bacillus	COG0760	89
Acinetobacter	32RYD	65
Staphylococcus	COG1403	304
Pseudomonas	33822	15
Corynebacterium	COG4231	17
Acinetobacter	COG0716	26
Yersinia	COG2064	42
Yersinia	COG2184	48
Yersinia	COG0115	48
Vibrio	COG0344	131
Staphylococcus	COG3321	30
Francisella	COG0297	18
Pseudomonas	305XQ	13
Francisella	COG1961	37
Klebsiella	COG0467	21
Burkholderia	COG4641	62
Pseudomonas	COG3572	9
Bacillus	COG1802	113
Mycobacterium	COG1479	237
Chromobacterium	COG2206	73
Pseudomonas	COG0656	56
Enterococcus	COG1368	70
Erwinia	COG3137	19
Acinetobacter	COG4388	79
Enterococcus	COG0526	80
Pseudomonas	COG0811	72
Chromobacterium	32U70	2
Salmonella	COG3170	60
Enterococcus	COG1044	7
Clostridioides	COG3464	5
Proteus	COG2352	16
Chromobacterium	COG2930	10
Yersinia	COG0283	25
Klebsiella	COG1742	28
Pseudomonas	COG2856	122
Neisseria	COG0624	71
Klebsiella	COG3550	144
Mycobacterium	COG4828	64
Staphylococcus	COG1180	47
Klebsiella	2Z9EC	28
Yersinia	COG0177	28
Vibrio	COG1106	430
Klebsiella	COG3316	757
Mycobacterium	COG0574	362
Streptococcus	COG0515	517
Klebsiella	COG2044	8
Streptococcus	COG0789	1378
Streptococcus	COG0537	439
Serratia	COG0451	150
Neisseria	COG2226	282
Streptococcus	COG0287	243
Enterococcus	COG0663	17
Acinetobacter	COG2197	1000
Clostridioides	COG4219	167
Acinetobacter	COG2932	692
Proteus	COG0526	43
Streptococcus	COG2249	265
Staphylococcus	COG1122	294
Streptococcus	COG1472	235
Neisseria	32WHN	16
Neisseria	COG2010	116
Serratia	COG0559	72
Klebsiella	COG3206	835
Mycobacterium	COG1331	240
Proteus	COG0419	68
Mycobacterium	COG0559	234
Mycobacterium	COG2251	260
Neisseria	COG3778	41
Bacillus	COG0514	92
Mycobacterium	COG3021	166
Mycobacterium	COG3324	384
Pseudomonas	2Z7SX	15
Vibrio	COG3630	151
Burkholderia	COG2135	575
Streptococcus	COG2113	71
Pseudomonas	COG1024	592
Bacillus	COG1078	67
Burkholderia	COG1403	769
Klebsiella	COG5532	60
Legionella	COG4191	164
Pseudomonas	COG0501	88
Yersinia	COG0347	46
Yersinia	COG1309	303
Yersinia	COG1580	49
Yersinia	COG1278	219
Yersinia	COG0494	175
Yersinia	COG0545	57
Yersinia	COG3963	23
Burkholderia	COG5662	230
Burkholderia	COG3508	67
Staphylococcus	COG0210	306
Streptococcus	COG3631	182
Yersinia	COG1704	8
Yersinia	COG2707	23
Bacillus	COG0443	66
Streptococcus	COG3886	77
Bacillus	COG5434	244
Burkholderia	345QQ	49
Acinetobacter	COG1514	118
Vibrio	COG0645	353
Vibrio	COG3618	39
Bacillus	COG4928	25
Acinetobacter	COG4603	41
Bacillus	COG3420	52
Klebsiella	COG3558	34
Corynebacterium	COG0385	278
Yersinia	COG2890	61
Yersinia	COG3819	29
Yersinia	COG1959	52
Salmonella	COG1593	36
Pseudomonas	COG3248	38
Pseudomonas	COG2887	26
Burkholderia	30XA3	19
Listeria	COG2421	25
Yersinia	COG0189	46
Listeria	COG0137	21
Clostridioides	COG1699	14
Bacillus	2Z7VW	1
Pseudomonas	COG0421	62
Vibrio	31ZZQ	31
Klebsiella	30RCK	1
Corynebacterium	COG3756	7
Proteus	COG0189	41
Pseudomonas	2Z8GP	12
Chromobacterium	COG1399	14
Chromobacterium	COG3525	23
Pseudomonas	4QAK6	70
Staphylococcus	COG0698	145
Erwinia	COG2867	21
Burkholderia	COG1086	136
Vibrio	COG3653	122
Staphylococcus	COG0673	232
Chromobacterium	COG2010	63
Legionella	COG0209	32
Erwinia	COG2203	48
Vibrio	COG3712	21
Vibrio	2Z8ER	91
Helicobacter	COG3528	17
Burkholderia	COG5340	94
Klebsiella	COG4639	9
Mycobacterium	COG2515	43
Francisella	COG3011	6
Erwinia	COG5645	35
Burkholderia	32T4A	10
Campylobacter	COG3468	41
Corynebacterium	COG0425	86
Mycobacterium	COG3193	114
Mycobacterium	COG1680	2012
Vibrio	COG0030	145
Mycobacterium	2ZRU9	1
Corynebacterium	COG0174	350
Streptococcus	COG1284	594
Corynebacterium	2Z8JM	66
Corynebacterium	COG3145	93
Streptococcus	COG3754	305
Klebsiella	COG2801	3902
Serratia	COG3436	57
Corynebacterium	COG1044	29
Neisseria	COG1253	116
Acinetobacter	COG3540	113
Acinetobacter	COG0486	161
Corynebacterium	COG1473	551
Campylobacter	COG0753	20
Mycobacterium	COG0693	891
Klebsiella	COG4733	704
Legionella	COG1696	49
Mycobacterium	COG3572	203
Campylobacter	COG0456	38
Erwinia	COG0239	23
Francisella	COG0706	13
Staphylococcus	COG5504	29
Streptococcus	COG3378	613
Serratia	COG1403	260
Serratia	COG1225	22
Listeria	COG0497	50
Bacillus	COG1887	342
Acinetobacter	COG4942	233
Corynebacterium	COG2049	108
Klebsiella	COG1593	102
Yersinia	COG0344	24
Yersinia	COG3106	27
Yersinia	COG4166	132
Yersinia	COG4653	65
Burkholderia	COG0330	368
Burkholderia	COG5377	242
Burkholderia	COG2866	97
Klebsiella	COG0071	141
Vibrio	COG0079	262
Salmonella	COG0653	22
Campylobacter	COG3381	8
Vibrio	3478R	12
Bacillus	COG1739	34
Chromobacterium	COG0406	45
Vibrio	COG0603	253
Klebsiella	32WCY	10
Acinetobacter	COG2188	199
Acinetobacter	COG5614	173
Burkholderia	COG3481	119
Mycobacterium	COG2509	1
Legionella	2Z7XJ	1
Legionella	COG1192	157
Burkholderia	3360X	41
Klebsiella	COG1262	198
Erwinia	32RJF	5
Enterococcus	COG1363	55
Francisella	COG4123	3
Chromobacterium	COG0524	56
Staphylococcus	COG1696	69
Pseudomonas	COG1840	68
Vibrio	COG2865	188
Klebsiella	COG4638	139
Vibrio	COG0563	343
Corynebacterium	COG0392	135
Pseudomonas	33A7D	36
Pseudomonas	COG2828	40
Chromobacterium	COG1840	62
Neisseria	COG1672	30
Acinetobacter	COG0577	172
Corynebacterium	COG4544	131
Klebsiella	COG4552	24
Mycobacterium	COG3055	67
Pseudomonas	COG3279	139
Burkholderia	COG3926	112
Acinetobacter	COG0401	64
Mycobacterium	31E6R	7
Mycobacterium	COG4125	13
Proteus	COG4589	13
Streptococcus	COG4577	151
Staphylococcus	COG1296	80
Burkholderia	COG1208	186
Serratia	32RZ4	11
Klebsiella	COG0537	48
Vibrio	332WC	21
Klebsiella	COG3257	24
Acinetobacter	COG2961	116
Acinetobacter	COG3428	49
Vibrio	COG1477	211
Vibrio	COG1555	155
Streptococcus	COG0477	2198
Klebsiella	2Z7KS	24
Serratia	COG0438	373
Streptococcus	COG1074	411
Staphylococcus	COG1409	196
Salmonella	COG0305	114
Clostridioides	COG1131	371
Acinetobacter	COG0775	285
Acinetobacter	COG0151	161
Clostridioides	COG1122	48
Vibrio	COG3771	127
Mycobacterium	COG1327	205
Legionella	COG0524	47
Mycobacterium	COG1757	35
Streptococcus	COG0039	363
Proteus	COG1349	78
Mycobacterium	COG0802	189
Campylobacter	COG0299	17
Vibrio	COG0615	265
Mycobacterium	COG5285	396
Yersinia	COG0451	298
Vibrio	COG0166	162
Pseudomonas	COG3499	47
Vibrio	COG2056	141
Mycobacterium	COG2968	234
Vibrio	COG0271	127
Acinetobacter	COG0121	127
Acinetobacter	COG1752	489
Acinetobacter	COG3250	48
Legionella	COG0665	82
Yersinia	COG3498	85
Yersinia	COG0513	142
Burkholderia	32Z4S	7
Burkholderia	COG2513	274
Burkholderia	2Z9WS	52
Burkholderia	COG2863	440
Burkholderia	2ZUNB	18
Mycobacterium	COG3920	242
Yersinia	30585	4
Vibrio	COG3969	30
Yersinia	COG2311	27
Francisella	COG0829	2
Serratia	COG0726	57
Neisseria	COG2771	11
Bacillus	COG4948	127
Proteus	COG3646	115
Bacillus	COG1960	258
Erwinia	COG0760	54
Pseudomonas	COG1704	44
Vibrio	4QAK6	114
Salmonella	COG2072	9
Pseudomonas	COG1487	50
Klebsiella	COG2976	24
Serratia	COG1466	10
Serratia	COG3211	18
Vibrio	COG0283	134
Bacillus	COG0018	37
Mycobacterium	COG2152	55
Serratia	COG3794	1
Serratia	COG5566	34
Serratia	COG4795	17
Listeria	COG3039	66
Francisella	COG0566	24
Streptococcus	COG0699	37
Vibrio	COG1317	190
Vibrio	30456	29
Pseudomonas	COG3008	308
Corynebacterium	COG0492	236
Pseudomonas	COG2915	16
Acinetobacter	COG0239	156
Enterococcus	COG1266	102
Acinetobacter	COG2960	119
Streptococcus	2Z8AD	199
Serratia	COG2003	102
Pseudomonas	COG1724	22
Erwinia	COG2823	56
Burkholderia	COG2104	50
Vibrio	COG0006	304
Bacillus	COG1077	103
Enterococcus	COG0212	18
Klebsiella	COG3211	20
Enterococcus	COG0510	18
Listeria	COG1811	18
Proteus	COG5544	15
Staphylococcus	COG3147	203
Staphylococcus	COG4717	95
Salmonella	COG3250	40
Pseudomonas	COG0848	59
Pseudomonas	COG1826	40
Corynebacterium	COG2832	28
Serratia	COG0738	74
Vibrio	COG2509	109
Clostridioides	COG0183	45
Pseudomonas	COG0778	145
Acinetobacter	COG3195	111
Staphylococcus	COG1479	89
Serratia	COG1937	22
Mycobacterium	COG5587	22
Bacillus	COG1587	78
Streptococcus	COG4377	148
Vibrio	COG2770	262
Streptococcus	COG3682	366
Proteus	COG0719	32
Mycobacterium	COG1396	2593
Streptococcus	COG3538	161
Streptococcus	COG2165	493
Neisseria	COG3950	41
Streptococcus	COG1484	700
Corynebacterium	COG1028	816
Enterococcus	COG1132	467
Salmonella	COG3772	167
Acinetobacter	COG4993	304
Mycobacterium	COG4948	778
Clostridioides	COG1167	92
Pseudomonas	COG1113	172
Neisseria	COG0778	241
Burkholderia	COG2205	2054
Streptococcus	COG0009	437
Proteus	COG0304	45
Acinetobacter	COG0715	854
Acinetobacter	COG0644	401
Mycobacterium	COG1659	180
Mycobacterium	COG2936	571
Chromobacterium	COG1744	28
Yersinia	COG0744	55
Vibrio	COG0560	410
Klebsiella	COG3383	229
Clostridioides	COG1974	32
Acinetobacter	33BFV	53
Pseudomonas	COG3829	178
Klebsiella	COG2959	35
Yersinia	COG1002	32
Yersinia	32YUV	100
Yersinia	COG3722	27
Yersinia	COG4235	39
Burkholderia	COG0705	61
Salmonella	COG1020	131
Francisella	COG0612	22
Burkholderia	316WC	51
Legionella	COG0816	30
Chromobacterium	COG4681	14
Mycobacterium	COG1881	328
Burkholderia	33431	83
Chromobacterium	COG3378	10
Serratia	2ZAF4	51
Klebsiella	COG1082	326
Yersinia	COG0063	28
Salmonella	COG2183	15
Burkholderia	2Z924	42
Listeria	2Z9UX	8
Corynebacterium	COG2879	33
Acinetobacter	COG1994	10
Helicobacter	COG2948	161
Streptococcus	COG1564	245
Staphylococcus	COG1380	124
Legionella	COG4786	38
Mycobacterium	COG0076	272
Corynebacterium	COG2966	208
Enterococcus	COG2898	38
Acinetobacter	COG2975	114
Bacillus	COG0389	172
Acinetobacter	COG3547	244
Erwinia	COG3776	18
Pseudomonas	338FR	5
Burkholderia	33BII	48
Neisseria	COG0633	112
Corynebacterium	COG1042	27
Mycobacterium	2ZCCP	48
Vibrio	COG0746	129
Acinetobacter	COG3100	121
