root_og	n_species	n_phyla	n_classes	n_orders	n_families	n_genera	phyla_set
2Z7SC	1304	31	53	130	212	510	AABM5-125-24;Acidobacteriota;Actinomycetota;Bacillota;Bacillota_A;Bacteroidota;Bdellovibrionota;CSP1-3;Chloroflexota;Cyanobacteriota;Deinococcota;Desulfobacterota;Desulfobacterota_B;Desulfobacterota_D;Desulfobacterota_F;Dormibacterota;Eisenbacteria;Eremiobacterota;Fusobacteriota;Gemmatimonadota;Halobacteriota;KSB1;Methylomirabilota;Myxococcota;Nitrospirota;Patescibacteria;Planctomycetota;Pseudomonadota;Thermoproteota;UBA10199;Verrucomicrobiota
2Z7SP	921	27	49	98	184	406	Acidobacteriota;Actinomycetota;Bacillota;Bacillota_A;Bacillota_F;Bacteroidota;Caldisericota;Campylobacterota;Chloroflexota;Cyanobacteriota;Desulfobacterota;Desulfobacterota_B;Desulfobacterota_D;Eremiobacterota;JdFR-76;Margulisbacteria;Myxococcota;Myxococcota_A;Nitrospirota;Patescibacteria;Planctomycetota;Poribacteria;Pseudomonadota;Spirochaetota;Thermoplasmatota;Thermoproteota;Verrucomicrobiota
2Z7SR	634	7	9	28	50	147	Acidobacteriota;Actinomycetota;Bacteroidota;Marinisomatota;Myxococcota;Pseudomonadota;SAR324
2Z7TC	173	6	7	15	29	83	Bacteroidota;Chloroflexota;Cyanobacteriota;Planctomycetota;UBA8248;Verrucomicrobiota
2Z7U8	271	6	8	13	26	84	Bdellovibrionota;Chrysiogenota;Desulfobacterota_F;Myxococcota;Pseudomonadota;SAR324
2Z7U9	16	1	1	1	1	10	Pseudomonadota
2Z7UT	501	1	2	6	22	84	Pseudomonadota
2Z7V0	1484	28	47	99	194	490	Acidobacteriota;Actinomycetota;Bacteroidota;Bdellovibrionota;CSP1-3;Campylobacterota;Chloroflexota;Deinococcota;Desulfobacterota;Desulfobacterota_B;Desulfobacterota_F;Desulfobacterota_G;Dormibacterota;Eisenbacteria;Elusimicrobiota;Gemmatimonadota;KSB1;Methylomirabilota;Myxococcota;Myxococcota_A;Nitrospinota;Nitrospirota;Omnitrophota;Patescibacteria;Planctomycetota;Pseudomonadota;Thermoplasmatota;Verrucomicrobiota
2Z7VP	1613	24	41	99	179	471	Acidobacteriota;Actinomycetota;Bacillota;Bacillota_E;Bacteroidota;Bdellovibrionota;Campylobacterota;Cyanobacteriota;Desulfobacterota;Elusimicrobiota;Gemmatimonadota;Halobacteriota;Latescibacterota;Margulisbacteria;Marinisomatota;Myxococcota;Myxococcota_A;Nitrospirota;Planctomycetota;Poribacteria;Pseudomonadota;SAR324;Thermoplasmatota;Verrucomicrobiota
2Z7VS	793	4	4	8	28	91	Bacillota;Bacillota_A;Bacillota_C;Bacteroidota
2Z7W4	144	2	2	3	6	23	Pseudomonadota;SAR324
2Z7W7	581	3	4	17	48	148	Desulfobacterota;Pseudomonadota;Verrucomicrobiota
2Z7WJ	219	3	7	29	48	113	Bdellovibrionota;Myxococcota_A;Pseudomonadota
2Z7WZ	369	1	1	13	33	123	Cyanobacteriota
2Z7XD	1008	27	51	97	159	381	Acidobacteriota;Aquificota;Armatimonadota;Bacillota_C;Bacteroidota;Bdellovibrionota;Campylobacterota;Chloroflexota;Cyanobacteriota;Deinococcota;Desulfobacterota;Desulfobacterota_B;Desulfobacterota_F;Eremiobacterota;FCPU426;Firestonebacteria;Gemmatimonadota;Latescibacterota;Margulisbacteria;Methylomirabilota;Myxococcota;Nitrospirota;Nitrospirota_A;Omnitrophota;Planctomycetota;Pseudomonadota;Verrucomicrobiota
2Z7XJ	1229	35	59	138	227	517	Acidobacteriota;Actinomycetota;Asgardarchaeota;Auribacterota;Bacillota;Bacillota_A;Bacillota_B;Bacillota_C;Bacteroidota;Bdellovibrionota;Chloroflexota;Cloacimonadota;Cyanobacteriota;Desulfobacterota;Desulfobacterota_E;Desulfobacterota_F;Elusimicrobiota;Fusobacteriota;Krumholzibacteriota;Latescibacterota;Marinisomatota;Myxococcota;Myxococcota_A;Nitrospirota;Omnitrophota;Patescibacteria;Planctomycetota;Pseudomonadota;SAR324;Spirochaetota;Synergistota;Thermoplasmatota;Thermotogota;Verrucomicrobiota;WOR-3
2Z81N	576	20	25	63	114	316	Actinomycetota;Bacillota;Bacillota_A;Bacillota_B;Bacillota_C;Bacillota_D;Bacteroidota;Campylobacterota;Cyanobacteriota;Deferribacterota;Desulfobacterota;Desulfobacterota_F;Fusobacteriota;Halobacteriota;Nitrospirota;Pseudomonadota;Spirochaetota;Synergistota;UBP6;Verrucomicrobiota
2Z82D	278	5	6	19	31	84	Cyanobacteriota;Deinococcota;Elusimicrobiota;Pseudomonadota;Verrucomicrobiota
2Z82N	585	1	1	3	4	85	Pseudomonadota
2Z83C	575	27	42	82	116	244	Acidobacteriota;Actinomycetota;Asgardarchaeota;Bacillota;Bacillota_A;Bacillota_B;Bacillota_C;Bacteroidota;Chloroflexota;Cloacimonadota;Cyanobacteriota;Desulfobacterota;Desulfobacterota_E;Desulfobacterota_F;Elusimicrobiota;Hydrogenedentota;Krumholzibacteriota;Latescibacterota;Marinisomatota;Omnitrophota;Planctomycetota;Pseudomonadota;Spirochaetota;Synergistota;Thermotogota;Verrucomicrobiota;WOR-3
2Z83E	301	1	2	17	37	123	Cyanobacteriota
2Z83Q	787	14	20	66	111	308	Acidobacteriota;Actinomycetota;Bacillota_A;Bacteroidota;Chloroflexota;Desulfobacterota;Desulfobacterota_E;Gemmatimonadota;Nitrospirota;Planctomycetota;Pseudomonadota;Spirochaetota;UBA8248;Verrucomicrobiota
2Z84E	219	3	4	11	12	96	Bacillota_A;Bacteroidota;Pseudomonadota
2Z84F	450	9	11	16	23	152	Acidobacteriota;Actinomycetota;Armatimonadota;Bacteroidota;Desulfobacterota;Nanoarchaeota;Patescibacteria;Pseudomonadota;Wallbacteria
2Z85U	150	6	10	16	28	60	Actinomycetota;Bacillota_A;Bacillota_E;Bacteroidota;Gemmatimonadota;Marinisomatota
2Z866	270	19	27	47	86	140	Acidobacteriota;Actinomycetota;Armatimonadota;Bacillota;Bacillota_A;Bacillota_F;Bacteroidota;Desulfobacterota;Gemmatimonadota;Halobacteriota;Hydrogenedentota;KSB1;Latescibacterota;Marinisomatota;Planctomycetota;Poribacteria;Pseudomonadota;Spirochaetota;Verrucomicrobiota
2Z86E	764	2	4	28	50	232	Bacillota_A;Pseudomonadota
2Z86U	859	24	40	101	183	414	Acidobacteriota;Actinomycetota;Bacillota;Bacillota_A;Bacillota_B;Bacillota_D;Bacillota_E;Bacillota_H;Bacteroidota;Bdellovibrionota;Campylobacterota;Chlamydiota;Chloroflexota;Cyanobacteriota;Dormibacterota;Elusimicrobiota;Eremiobacterota;Myxococcota;Nitrospirota;Nitrospirota_A;Patescibacteria;Planctomycetota;Pseudomonadota;Spirochaetota
2Z876	799	3	4	8	34	165	Bacillota;Myxococcota;Pseudomonadota
2Z87B	711	4	5	17	33	155	Bacillota;Bacteroidota;Nitrospirota;Pseudomonadota
2Z87C	2614	14	25	60	150	605	Acidobacteriota;Bacteroidota;Bdellovibrionota;Calditrichota;Gemmatimonadota;Marinisomatota;Myxococcota;Nitrospirota;Planctomycetota;Pseudomonadota;SAR324;Spirochaetota;Synergistota;Verrucomicrobiota
2Z8A0	446	18	25	45	84	169	Acidobacteriota;Actinomycetota;Armatimonadota;Bacillota;Bacillota_A;Bacteroidota;Calditrichota;Chloroflexota;Cloacimonadota;Hydrogenedentota;JdFR-76;KSB1;OLB16;Planctomycetota;Poribacteria;Thermotogota;UBP15;Verrucomicrobiota
2Z8B7	538	2	3	9	45	177	Bacillota_A;Bacteroidota
2Z8BM	476	9	11	31	60	173	Bacillota;Bacteroidota;Campylobacterota;Cyanobacteriota;Elusimicrobiota;Pseudomonadota;Spirochaetota;UBA6266;Verrucomicrobiota
2Z8C3	211	4	5	19	39	109	Armatimonadota;Cyanobacteriota;Gemmatimonadota;Pseudomonadota
2Z8CV	484	1	2	4	13	38	Pseudomonadota
2Z8DV	212	4	4	7	18	48	Bacillota_A;Bacteroidota;Campylobacterota;Desulfobacterota
2Z8EX	136	8	15	20	25	47	Acidobacteriota;Bacteroidota;Bdellovibrionota;Desulfobacterota;Desulfobacterota_G;Gemmatimonadota;Myxococcota;Planctomycetota
2Z8FC	1285	7	11	16	63	252	Bacillota_A;Bacteroidota;KSB1;Latescibacterota;Methanobacteriota;Patescibacteria;Pseudomonadota
2Z8GP	911	24	38	82	147	372	Acidobacteriota;Actinomycetota;Armatimonadota;Bacillota;Bacillota_A;Bacillota_B;Bacteroidota;Bdellovibrionota;Campylobacterota;Chloroflexota;Cyanobacteriota;Desulfobacterota;Desulfobacterota_B;JdFR-76;Methylomirabilota;Myxococcota;Nitrospirota;Patescibacteria;Planctomycetota;Pseudomonadota;SZUA-79;Spirochaetota;UBP6;Verrucomicrobiota
2Z8H7	504	2	3	14	36	119	Nitrospirota;Pseudomonadota
2Z8HD	944	40	68	133	219	508	AABM5-125-24;Acidobacteriota;Actinomycetota;Bacillota;Bacillota_A;Bacillota_B;Bacillota_C;Bacillota_E;Bacillota_G;Bacteroidota;Campylobacterota;Chloroflexota;Cloacimonadota;Cyanobacteriota;Desulfobacterota;Desulfobacterota_F;Desulfobacterota_G;Edwardsbacteria;Elusimicrobiota;Eremiobacterota;Fibrobacterota;Fusobacteriota;Gemmatimonadota;Halobacteriota;KSB1;Latescibacterota;Methanobacteriota;Nitrospinota;Nitrospirota;OLB16;Patescibacteria;Planctomycetota;Poribacteria;Pseudomonadota;Spirochaetota;Sumerlaeota;Synergistota;Thermotogota;UBA9089;Verrucomicrobiota
